SiteID,SiteName,Region,AnalysisEndDate,SamplingDate,Month,Year,SoilType,Crop,CropID,Growth Stage,SoilLayer,Layer depth (cm),Bulk density,pH,Total Nitrogen,Total Carbon,OrganicMatter,Carbon-Nitrogen ratio,Potentially Available N,AmmoniacalN,NitrateN,MineralN,Mineral N (kg/ha),Mineral N + PAN (kg/ha),Total Hot water N (kg/ha),Hot water N INORGANIC (kg/ha),Hot water N organic(kg/ha),Hot WaterN,HotWaterSolubleInorganicN,HotWaterSolubleOrganicN,OlsenP,CalciumQT,MagnesiumQT,PotassiumQT,SodiumQT,Note,Lab,HWN to kgN for Mineralisable calc,,,,,,,,,,,,
8,Lovett,Canterbury,05/12/2020,20/11/2020,11,2020,Sedimentary,Potato,8Pot-A,Growth,15 - 30 cm,15,1.16,5.6,0.2%,1.9%,3.3%,11,82,8,57,65,113,195,230,75,155,132,43,89,34,11,29,10,7,,Eurofins,153.2017063,,,,,,,,,,,,
8,Lovett,Canterbury,06/12/2020,20/11/2020,11,2020,Sedimentary,Potato,8Pot-A,Growth,30 - 60 cm,30,1.47,,,,,,,2,16,18,79,,0,0,0,,,,,,,,,,Eurofins,0,,,,,,,,,,,,
8,Lovett,Canterbury,07/12/2020,20/11/2020,11,2020,Sedimentary,Potato,8Pot-A,Growth,60 - 90 cm,30,1.48,,,,,,,2,7,9,40,,0,0,0,,,,,,,,,,Eurofins,0,,,,,,,,,,,,
1,Wilcox,Pukekawa,04/12/2020,23/11/2020,11,2020,Volcanic,Ryegrass,1Rye-Ab,Growth,0 - 15 cm,15,0.86,6.1,0.2%,2.0%,3.4%,11,9,1,0,1,1.29,10,47,16,31,36,12,24,117,11,12,14,6,,Eurofins,31.03839372,,,,,,,,,,,,
1,Wilcox,Pukekawa,04/12/2020,23/11/2020,11,2020,Volcanic,Ryegrass,1Rye-Ab,Growth,15 - 30 cm,15,0.68,6,0.2%,1.9%,3.2%,9,12,1,0,1,1.02,13,24,8,15,24,8,15,82,11,13,13,5,,Eurofins,16.29660223,,,,,,,,,,,,
1,Wilcox,Pukekawa,04/12/2020,23/11/2020,11,2020,Volcanic,Ryegrass,1Rye-Ab,Growth,30 - 60 cm,30,0.91,,,,,,,2,0,2,5,,0,0,0,,,,,,,,,,Eurofins,0,,,,,,,,,,,,
7,Brownrigg,Hawkes Bay,04/12/2020,23/11/2020,11,2020,Sedimentary,Squash,7BS-A,Growth,0 - 15 cm,15,1.03,5.8,0.2%,2.3%,3.9%,10,47,2,12,13,20,67,165,40,125,107,26,81,29,15,61,15,4,,Eurofins,110.1959663,,,,,,,,,,,,
7,Brownrigg,Hawkes Bay,04/12/2020,23/11/2020,11,2020,Sedimentary,Squash,7BS-A,Growth,15 - 30 cm,15,1.05,5.9,0.2%,1.7%,2.9%,7,19,1,9,10,16,35,97,30,68,62,19,43,13,15,57,5,6,,Eurofins,64.98774218,,,,,,,,,,,,
7,Brownrigg,Hawkes Bay,04/12/2020,23/11/2020,11,2020,Sedimentary,Squash,7BS-A,Growth,30 - 60 cm,30,1.05,,,,,,,1,6,7,22,,0,0,0,,,,,,,,,,Eurofins,0,,,,,,,,,,,,
7,Brownrigg,Hawkes Bay,04/12/2020,23/11/2020,11,2020,Sedimentary,Squash,7BS-A,Growth,60 - 90 cm,30,1.05,,,,,,,1,2,4,13,,0,0,0,,,,,,,,,,Eurofins,0,,,,,,,,,,,,
